م,E,N,نوع الحادث,جسامة الحادث,عدد المصابين
4386,21.3639952608848,39.8737982401266,دهس مشاه,وفاة,null
4385,21.3639952608848,39.8737982401266,صدم جسم ثابت اخر,اصابة,null
4384,0,0,صدم مركبة متحركة,اصابة,null
4383,21.4249,39.8219,صدم جسم ثابت اخر,اصابة,null
4382,21.363966,39.873775,انقلاب مركبة,اصابة,null
4381,21.363966,39.873775,دهس مشاه,وفاة,null
4380,21.363966,39.873775,صدم جسم ثابت اخر,وفاة,null
4379,21.363966,39.873775,صدم عمود كهرباء,اصابة,null
4378,21.363966,39.873775,انقلاب مركبة,اصابة,null
4377,21.364046,39.873976,دهس مشاه,اصابة,null
4376,21.364046,39.873976,صدم حاجز جانبي,اصابة,null
4375,21.364046,39.873976,دهس مشاه,اصابة,null
4374,21.364046,39.873976,صدم مركبة متحركة,اصابة,null
4373,21.364046,39.873976,انقلاب مركبة,اصابة,null
4372,21.4249,39.8219,صدم مركبة متحركة,اصابة,null
4371,21.364201,39.873963,صدم مركبة متحركة,وفاة,null
4370,21.364201,39.873963,دهس مشاه,وفاة,null
4369,21.388052,39.880157,دهس مشاه,اصابة,null
4368,21.364201,39.873963,صدم مركبة متحركة,اصابة,null
4367,21.388052,39.880157,دهس مشاه,اصابة,null
4366,21.388052,39.880157,دهس مشاه,وفاة,null
4365,21.388052,39.880157,صدم مركبة متحركة,اصابة,null
4364,21.388052,39.880157,انقلاب مركبة,وفاة,null
4363,21.4499328,39.8983168,صدم مركبة متحركة,اصابة,null
4362,21.413888,39.8589952,صدم عمود كهرباء,اصابة,null
4361,21.413888,39.8589952,دهس مشاه,اصابة,null
4360,21.413888,39.8589952,صدم مركبة متحركة,اصابة,null
4359,21.413888,39.8589952,صدم مركبة متحركة,اصابة,null
4358,22.334845,39.305408,انقلاب مركبة,وفاة,null
4357,21.404463,39.830299,دهس مشاه,وفاة,null
4356,21.5351296,39.1872512,انقلاب مركبة,اصابة,null
4355,21.5351296,39.1872512,صدم مركبة متحركة,اصابة,null
4354,21.5351296,39.1872512,صدم مركبة متحركة,اصابة,null
4353,21.5351296,39.1872512,دهس مشاه,وفاة,null
4352,21.5351296,39.1872512,دهس مشاه,اصابة,null
4351,21.5351296,39.1872512,انقلاب مركبة,اصابة,null
4350,21.5351296,39.1872512,دهس مشاه,وفاة,null
4349,21.5351296,39.1872512,انقلاب مركبة,وفاة,null
4348,21.5351296,39.1872512,صدم مركبة متحركة,وفاة,null
4347,21.5351296,39.1872512,صدم مركبة متحركة,وفاة,null
4346,21.4171648,39.3510912,دهس مشاه,وفاة,null
4345,21.577728,39.174144,صدم مركبة متحركة,اصابة,null
4344,21.391567,39.706367,صدم مركبة متحركة,اصابة,null
4343,21.577728,39.174144,انقلاب مركبة,وفاة,null
4342,21.350733,39.803696,صدم مركبة متحركة,اصابة,null
4341,21.3502245163118,39.7853040238695,انقلاب مركبة,اصابة,null
4340,21.3502245163118,39.7853040238695,دهس مشاه,اصابة,null
4339,21.3502245163118,39.7853040238695,دهس مشاه,اصابة,null
4338,21.3502245163118,39.7853040238695,صدم مركبة متحركة,اصابة,null
4337,21.3502245163118,39.7853040238695,صدم مركبة متحركة,وفاة,null
4336,21.3502245163118,39.7853040238695,دهس مشاه,وفاة,null
4335,21.3502245163118,39.7853040238695,دهس مشاه,اصابة,null
4334,21.3502245163118,39.7853040238695,دهس مشاه,اصابة,null
4333,21.3502245163118,39.7853040238695,دهس مشاه,اصابة,null
4332,21.3502245163118,39.7853040238695,دهس مشاه,وفاة,null
4331,21.87264,39.1872512,دهس حيوان,وفاة,null
4330,21.3502245163118,39.7853040238695,صدم سياج طريق,اصابة,null
4329,21.478306,40.028332,دهس مشاه,وفاة,null
4328,21.3502245163118,39.7853040238695,دهس مشاه,اصابة,null
4327,21.405483,39.911057,صدم مركبة متحركة,اصابة,null
4326,18.920883,41.285263,صدم جسم ثابت اخر,اصابة,null
4325,19.544397,41.038509,صدم مركبة متحركة,اصابة,null
4324,21.3502245163118,39.7853040238695,صدم مركبة متحركة,وفاة,null
4323,21.3502245163118,39.7853040238695,انقلاب مركبة,وفاة,null
