grid_id,lat_grid,lon_grid,accident_count,avg_severity,latitude,longitude,predicted_count,risk_level
21.119296_39.150105,21.119295724038807,39.15010489399526,1,2.0,21.12152,39.15319,1.2442859526286905,Medium
21.119296_39.579478,21.119295724038807,39.57947757859977,2,2.0,21.12057,39.58101,1.4267735159825277,Medium
21.119296_39.584302,21.119295724038807,39.58430199078634,1,2.0,21.1205,39.5854,1.2624953566418682,Medium
21.119296_39.960606,21.119295724038807,39.9606061413386,1,3.0,21.1233,39.961189,1.0003488372093023,Low
21.123787_39.150105,21.123787279913763,39.15010489399526,2,3.0,21.1262,39.151274,1.6025632356531099,High
21.123787_39.579478,21.123787279913763,39.57947757859977,1,3.0,21.127363,39.581684,1.0077312238171479,Low
21.123787_40.254895,21.123787279913763,40.254895284719225,1,2.0,21.126833,40.258575,1.0479942043443404,Low
21.128279_39.598775,21.128278835788716,39.598775227346046,2,3.0,21.129698849999997,39.603095800000006,1.0077312238171479,Low
21.128279_39.627722,21.128278835788716,39.62772170046545,1,3.0,21.128889,39.627889,1.0077312238171479,Low
21.128279_39.912362,21.128278835788716,39.91236201947293,1,2.0,21.1321996,39.9151862,1.063725991199303,Low
21.128279_40.269369,21.128278835788716,40.26936852127893,1,2.0,21.1306941,40.2726344,1.0361192043443403,Low
21.13277_39.492638,21.132770391663673,39.49263815924156,1,2.0,21.13436,39.49284,1.3127324214505296,Medium
21.13277_39.912362,21.132770391663673,39.91236201947293,1,2.0,21.136808,39.917156,1.0629331793599794,Low
21.13277_39.917186,21.132770391663673,39.917186431659495,1,3.0,21.133503,39.920048,1.0357192075796726,Low
21.146245_39.757981,21.14624505928854,39.75798082950277,1,2.0,21.14986,39.761766,1.1274924430409863,Medium
21.150737_39.902713,21.150736615163492,39.90271319509979,1,3.0,21.1522254,39.9034646,1.0118911374042343,Low
21.155228_39.984728,21.15522817103845,39.98472820227144,1,2.0,21.156017,39.9893,1.1155865956486881,Medium
21.15972_39.487814,21.1597197269134,39.48781374705499,2,2.0,21.162065,39.49144,1.5477383608491444,Medium
21.15972_39.492638,21.1597197269134,39.49263815924156,2,2.0,21.163379499999998,39.492883,1.5784529226813253,Medium
21.15972_39.56018,21.1597197269134,39.560179929853504,1,2.0,21.16215,39.56181,1.2899350087865173,Medium
21.15972_39.6036,21.1597197269134,39.60359963953261,1,2.0,21.1603585,39.6054128,1.492611965825395,Medium
21.15972_39.859293,21.1597197269134,39.859293485420686,1,2.0,21.1627094,39.8624395,1.4614228797916937,Medium
21.164211_39.859293,21.164211282788358,39.859293485420686,2,2.0,21.167348,39.8622225,1.5984056645722726,High
21.173194_39.410623,21.173194394538267,39.41062315206991,1,2.0,21.17456,39.41096,1.1447958357149124,Medium
21.173194_39.6036,21.173194394538267,39.60359963953261,2,2.0,21.174422,39.6053985,1.5502919728281959,Medium
21.173194_39.791752,21.173194394538267,39.79175171480874,1,2.0,21.175668,39.796101,1.0586523479744236,Low
21.173194_39.849645,21.173194394538267,39.849644661047556,1,2.0,21.17581,39.850212,1.124308420917215,Medium
21.173194_39.859293,21.173194394538267,39.859293485420686,1,2.0,21.177436,39.859436,1.119707033092143,Medium
21.177686_39.405799,21.177685950413224,39.405798739883345,1,2.0,21.18062,39.40998,1.1093215515398973,Low
21.177686_39.51676,21.177685950413224,39.5167602201744,1,2.0,21.181728,39.5183,1.083584984920719,Low
21.177686_39.6036,21.177685950413224,39.60359963953261,2,2.5,21.18070575,39.60525055,2.0817239176652462,High
21.182178_39.531233,21.182177506288177,39.5312334567341,1,2.0,21.18405,39.5324,1.0852499168877923,Low
21.182178_39.593951,21.182177506288177,39.593950815159474,1,2.0,21.186663,39.596756,1.1191450227937247,Medium
21.182178_39.6036,21.182177506288177,39.60359963953261,4,2.25,21.1840945,39.60508525,4.061111111111111,High
21.191161_39.521585,21.19116061803809,39.52158463236096,1,2.0,21.19525,39.52506,1.0818749168877921,Low
21.191161_39.569829,21.19116061803809,39.569828754226634,1,3.0,21.19164,39.57104,1.0077312238171479,Low
21.195652_39.946133,21.195652173913043,39.9461329047789,2,2.0,21.199432350000002,39.9493292,1.0778779102990153,Low
21.200144_39.449218,21.200143729788,39.44921844956245,1,3.0,21.20368,39.45023,1.2020196823675378,Medium
21.200144_39.540882,21.200143729788,39.54088228110723,1,2.0,21.20295,39.54249,1.0989504954197051,Low
